Iterations;XslTransform;Schematron;MSXML
0;0;0;0
10;260,3744;280,4032;350,504
20;190,2736;130,1872;290,4176
30;300,432;190,2736;440,6336
40;400,576;260,3744;570,8208
50;500,72;300,432;741,0656
60;590,8496;370,5328;881,2672
70;680,9792;420,6048;1011,4544
80;781,1232;490,7056;1251,8
90;951,368;620,8928;1311,8864
100;991,4256;600,864;1752,52
110;1091,5696;680,9792;1642,3616
120;1331,9152;751,08;1782,5632
130;1271,8288;831,1952;1932,7792
140;1412,0304;831,1952;2062,9664
150;1482,1312;921,3248;2183,1392
160;1722,4768;991,4256;2293,2976
170;1662,3904;1041,4976;2463,5424
180;1712,4624;1081,5552;2593,7296
190;1862,6784;1151,656;2713,9024
200;2042,9376;1231,7712;2994,3056
210;2173,1248;1261,8144;3124,4928
