Iterations;XslTransform;Schematron;MSXML
0;0;0;0
10;90.1296;130.1872;70.1008
20;120.1728;90.1296;140.2016
30;190.2736;110.1584;220.3168
40;240.3456;160.2304;300.432
50;310.4464;150.216;360.5184
60;360.5184;200.288;430.6192
70;450.648;220.3168;490.7056
80;470.6768;260.3744;570.8208
90;530.7632;290.4176;660.9504
100;610.8784;330.4752;711.0224
110;650.936;360.5184;811.1664
120;711.0224;380.5472;851.224
130;761.0944;430.6192;931.3392
140;821.1808;450.648;981.4112
150;871.2528;500.72;1061.5264
160;941.3536;500.72;1141.6416
170;1021.4688;530.7632;1231.7712
180;1061.5264;590.8496;1311.8864
190;1111.5984;600.864;1371.9728
200;1181.6992;650.936;1432.0592
210;1221.7568;670.9648;1492.1456
220;1281.8432;690.9936;1582.2752
230;1351.944;741.0656;1652.376
240;1422.0448;771.1088;1742.5056
250;1472.1168;791.1376;1802.592
260;1522.1888;831.1952;1862.6784
270;1582.2752;861.2384;1962.8224
280;1632.3472;881.2672;2042.9376
290;1672.4048;911.3104;2082.9952
300;1742.5056;951.368;2093.0096
310;1802.592;991.4256;2253.24
320;1872.6928;1041.4976;2283.2832
330;1902.736;1061.5264;2383.4272
340;1962.8224;1091.5696;2423.4848
350;2032.9232;1111.5984;2463.5424
360;2093.0096;1141.6416;2573.7008
370;2143.0816;1161.6704;2613.7584
380;2193.1536;1201.728;2733.9312
390;2253.24;1251.8;2834.0752
400;2333.3552;1261.8144;2914.1904
410;2393.4416;1291.8576;2934.2192
420;2413.4704;1351.944;3044.3776
430;2513.6144;1381.9872;3084.4352
440;2513.6144;1442.0736;3184.5792
450;2593.7296;1412.0304;3204.608
460;2643.8016;1462.1024;3304.752
470;2733.9312;1482.1312;3444.9536
480;2723.9168;1532.2032;3495.0256
490;2854.104;1562.2464;3464.9824
500;2894.1616;1612.3184;3535.0832
510;3014.3344;1622.3328;3695.3136
520;3004.32;1662.3904;3835.5152
530;3084.4352;1682.4192;3925.6448
540;3134.5072;1732.4912;3865.5584
550;3194.5936;1742.5056;3985.7312
560;3264.6944;1812.6064;4105.904
570;3334.7952;1822.6208;4165.9904
580;3314.7664;1932.7792;4206.048
590;3454.968;1882.7072;4276.1488
600;3474.9968;1912.7504;4376.2928
610;3585.1552;1972.8368;4406.336
620;3595.1696;1972.8368;4376.2928
630;3625.2128;2012.8944;4536.5232
640;3715.3424;2032.9232;4636.6672
650;3755.4;2093.0096;4706.768
660;3785.4432;2133.0672;4706.768
670;3895.6016;2123.0528;4836.9552
680;3975.7168;2133.0672;4937.0992
690;3935.6592;2233.2112;5007.2
700;4005.76;2303.312;5027.2288
710;4085.8752;2313.3264;5167.4304
720;4145.9616;2303.312;5207.488
730;4256.12;2293.2976;5117.3584
740;4266.1344;2373.4128;5357.704
750;4356.264;2393.4416;5437.8192
760;4436.3792;2423.4848;5598.0496
770;4486.4512;2453.528;5628.0928
780;4566.5664;2503.6;5598.0496
790;4606.624;2503.6;5477.8768
800;4636.6672;2563.6864;5728.2368
810;4716.7824;2583.7152;5808.352
820;4726.7968;2683.8592;5818.3664
830;4826.9408;2653.816;6068.7264
840;4937.0992;2723.9168;6299.0576
850;4927.0848;2703.888;6068.7264
860;4947.1136;2784.0032;6289.0432
870;5027.2288;2794.0176;6248.9856
880;5087.3152;2844.0896;6299.0576
890;5157.416;2874.1328;6479.3168
900;5247.5456;2864.1184;6519.3744
910;5267.5744;2934.2192;6569.4464
920;5297.6176;2954.248;6549.4176
930;5387.7472;3024.3488;6669.5904
940;5427.8048;3024.3488;6759.72
950;5517.9344;3054.392;6859.864
960;5568.0064;3114.4784;6849.8496
970;5628.0928;3124.4928;7100.2096
980;5678.1648;3134.5072;7190.3392
990;5768.2944;3184.5792;7200.3536
1000;5808.352;3164.5504;7240.4112
1010;5878.4528;3254.68;7130.2528
1020;5928.5248;3304.752;7370.5984
1030;5988.6112;3344.8096;7530.8288
1040;6038.6832;3354.824;7490.7712
1050;6138.8272;3394.8816;7470.7424
1060;6148.8416;3374.8528;7761.16
1070;6259;3414.9104;7791.2032
1080;6248.9856;3464.9824;7771.1744
1090;6248.9856;3485.0112;7801.2176
1100;6429.2448;3495.0256;7991.4912
1110;6419.2304;3585.1552;7971.4624
1120;6419.2304;3615.1984;8121.6784
1130;6519.3744;3565.1264;8221.8224
1140;6579.4608;3655.256;8141.7072
1150;6659.576;3705.328;8141.7072
1160;6679.6048;3735.3712;8402.0816
1170;6749.7056;3705.328;8502.2256
1180;6849.8496;3775.4288;8442.1392
1190;6909.936;3845.5296;8562.312
1200;6909.936;3855.544;8522.2544
1210;6939.9792;3875.5728;8682.4848
1220;7090.1952;3915.6304;8832.7008
1230;7150.2816;3895.6016;8952.8736
1240;7130.2528;3955.688;8882.7728
1250;7200.3536;3985.7312;9053.0176
1260;7250.4256;4035.8032;9183.2048
1270;7400.6416;4035.8032;9233.2768
1280;7360.584;4085.8752;9273.3344
1290;7410.656;4165.9904;9113.104
1300;7500.7856;4155.976;9423.5504
1310;7570.8864;4216.0624;9543.7232
1320;7640.9872;4216.0624;9613.824
1330;7711.088;4226.0768;9573.7664
1340;7731.1168;4306.192;9573.7664
1350;7781.1888;4296.1776;9703.9536
1360;7861.304;4376.2928;9744.0112
1370;7941.4192;4416.3504;9964.328
1380;7921.3904;4396.3216;9874.1984
1390;7981.4768;4456.408;9824.1264
1400;8051.5776;4426.3648;10074.4864
1410;8051.5776;4486.4512;10214.688
1420;8151.7216;4496.4656;10284.7888
1430;8241.8512;4556.552;10184.6448
1440;8331.9808;4596.6096;10565.192
1450;8412.096;4616.6384;10465.048
1460;8402.0816;4696.7536;10685.3648
1470;8452.1536;4686.7392;10665.336
1480;8532.2688;4736.8112;10865.624
1490;8612.384;4736.8112;10535.1488
1500;8802.6576;4907.056;10825.5664
1510;8702.5136;4836.9552;10735.4368
1520;8702.5136;4897.0416;10975.7824
1530;8832.7008;4887.0272;10885.6528
1540;8912.816;4967.1424;10995.8112
1550;8922.8304;5027.2288;11095.9552
1560;9012.96;5037.2432;11256.1856
1570;9093.0752;5027.2288;11156.0416
1580;9093.0752;5067.2864;11266.2
1590;9253.3056;5067.2864;11466.488
1600;9273.3344;5107.344;11366.344
1610;9273.3344;5137.3872;11506.5456
1620;9303.3776;5157.416;11556.6176
1630;9403.5216;5157.416;11526.5744
1640;9433.5648;5157.416;11576.6464
1650;9553.7376;5227.5168;11857.0496
1660;9553.7376;5297.6176;12087.3808
1670;9693.9392;5317.6464;12137.4528
1680;9663.896;5417.7904;12237.5968
1690;9804.0976;5407.776;12137.4528
1700;9854.1696;5437.8192;12307.6976
1710;9964.328;5467.8624;12077.3664
1720;10014.4;5477.8768;12417.856
1730;10134.5728;5568.0064;12638.1728
1740;10164.616;5588.0352;12748.3312
1750;10174.6304;5608.064;12367.784
1760;10214.688;5648.1216;12668.216
1770;10294.8032;5678.1648;12818.432
1780;10364.904;5738.2512;13018.72
1790;10435.0048;5788.3232;12788.3888
1800;10435.0048;5728.2368;13118.864
1810;10525.1344;5728.2368;13168.936
1820;10475.0624;5828.3808;13319.152
1830;10655.3216;5868.4384;13399.2672
1840;10675.3504;5938.5392;12828.4464
1850;10695.3792;5958.568;13339.1808
1860;10825.5664;5948.5536;13449.3392
1870;10845.5952;5948.5536;13629.5984
1880;10855.6096;5968.5824;13759.7856
1890;11005.8256;6038.6832;13839.9008
1900;11136.0128;6028.6688;13899.9872
1910;11236.1568;6048.6976;13569.512
1920;11206.1136;6198.9136;13809.8576
1930;11206.1136;6228.9568;13970.088
1940;11166.056;6178.8848;14000.1312
1950;11276.2144;6178.8848;14310.5776
1960;11326.2864;6299.0576;14300.5632
1970;11386.3728;6349.1296;13950.0592
1980;11536.5888;6289.0432;14300.5632
1990;11496.5312;6339.1152;14550.9232
2000;11686.8048;6459.288;14520.88
2010;11616.704;6479.3168;14000.1312
2020;11736.8768;6489.3312;14721.168
2030;11776.9344;6479.3168;14050.2032
2040;11476.5024;6329.1008;13930.0304
2050;11386.3728;6299.0576;14010.1456
2060;11426.4304;6379.1728;14090.2608
2070;11837.0208;6569.4464;14871.384
2080;12057.3376;6659.576;15091.7008
2090;11977.2224;6709.648;15121.744
2100;12067.352;6739.6912;14831.3264
2110;12177.5104;6659.576;14841.3408
2120;12147.4672;6799.7776;15261.9456
2130;12317.712;6909.936;15492.2768
2140;12357.7696;6789.7632;15562.3776
2150;12397.8272;6889.9072;15652.5072
2160;12588.1008;6919.9504;15752.6512
2170;12457.9136;7020.0944;15442.2048
2180;12618.144;7060.152;15672.536
2190;12628.1584;7080.1808;15872.824
2200;12798.4032;7060.152;15682.5504
2210;12838.4608;7090.1952;15402.1472
2220;12798.4032;7120.2384;16083.1264
2230;12898.5472;7100.2096;16233.3424
2240;12938.6048;7170.3104;16453.6592
2250;13128.8784;7210.368;15962.9536
2260;13108.8496;7280.4688;16413.6016
2270;13188.9648;7270.4544;16473.688
2280;13178.9504;7370.5984;16473.688
2290;13339.1808;7370.5984;16413.6016
2300;13359.2096;7430.6848;16814.1776
2310;13299.1232;7400.6416;16683.9904
2320;13509.4256;7410.656;16984.4224
2330;13479.3824;7470.7424;16513.7456
2340;13619.584;7570.8864;17064.5376
2350;13649.6272;7550.8576;16814.1776
2360;13649.6272;7550.8576;16814.1776
2370;13709.7136;7570.8864;16754.0912
2380;13719.728;7580.9008;17094.5808
2390;13759.7856;7630.9728;17415.0416
2400;13789.8288;7711.088;17384.9984
2410;13960.0736;7701.0736;17555.2432
2420;13970.088;7701.0736;17565.2576
2430;13990.1168;7771.1744;17715.4736
2440;14160.3616;7811.232;17324.912
2450;14140.3328;8031.5488;18086.0064
2460;14340.6208;7821.2464;18015.9056
2470;14300.5632;7921.3904;17745.5168
2480;14360.6496;7991.4912;17875.704
2490;14400.7072;8021.5344;17785.5744
2500;14420.736;8051.5776;18106.0352
2510;14500.8512;8031.5488;18086.0064
2520;14550.9232;7991.4912;18286.2944
2530;14570.952;8061.592;18296.3088
2540;14711.1536;8061.592;18126.064
2550;14681.1104;8111.664;18156.1072
2560;14731.1824;8201.7936;18086.0064
2570;14881.3984;8221.8224;18466.5536
2580;14861.3696;8321.9664;18616.7696
2590;15021.6;8241.8512;18777
2600;15081.6864;8291.9232;18897.1728
2610;15051.6432;8392.0672;18486.5824
2620;15101.7152;8442.1392;19027.36
2630;15191.8448;8392.0672;19007.3312
2640;15151.7872;8412.096;19257.6912
2650;15342.0608;8492.2112;19377.864
2660;15402.1472;8582.3408;19257.6912
2670;15502.2912;8532.2688;19508.0512
2680;15582.4064;8582.3408;19057.4032
2690;15542.3488;8632.4128;19247.6768
2700;15602.4352;8562.312;19658.2672
2710;15692.5648;8612.384;19788.4544
2720;15702.5792;8692.4992;20038.8144
2730;15792.7088;8742.5712;19758.4112
2740;15912.8816;8832.7008;19447.9648
2750;16033.0544;8872.7584;20108.9152
2760;16013.0256;8762.6;20018.7856
2770;15972.968;8862.744;19948.6848
2780;16033.0544;8872.7584;19708.3392
2790;16163.2416;8892.7872;20269.1456
2800;16213.3136;8922.8304;20128.944
2810;16313.4576;8912.816;20619.6496
2820;16343.5008;9012.96;20098.9008
2830;16473.688;9053.0176;20239.1024
2840;16533.7744;9053.0176;20269.1456
2850;16683.9904;9123.1184;20419.3616
2860;16523.76;9173.1904;20269.1456
2870;16613.8896;9203.2336;20870.0096
2880;16613.8896;9273.3344;20489.4624
2890;16293.4288;9133.1328;20789.8944
2900;16523.76;9363.464;20880.024
2910;16724.048;9303.3776;20679.736
2920;16834.2064;9393.5072;20870.0096
2930;16984.4224;9423.5504;20970.1536
2940;17024.48;9423.5504;21450.8448
2950;17184.7104;9433.5648;21010.2112
2960;17254.8112;9443.5792;21490.9024
2970;17214.7536;9583.7808;21510.9312
2980;17344.9408;9553.7376;21561.0032
2990;17384.9984;9603.8096;21310.6432
3000;17425.056;9633.8528;21430.816
