Iterations;XslTransform;Schematron;MSXML
0;0;0;0
10;570.8208;210.3024;1892.7216
20;1151.656;320.4608;660.9504
30;1762.5344;500.72;971.3968
40;2373.4128;670.9648;1291.8576
50;2954.248;821.1808;1632.3472
60;3515.0544;981.4112;1952.808
70;4176.0048;1161.6704;2243.2256
80;4716.7824;1331.9152;2613.7584
90;5297.6176;1472.1168;2944.2336
100;5848.4096;1682.4192;3234.6512
110;6529.3888;1812.6064;3535.0832
120;7040.1232;1962.8224;3875.5728
130;7691.0592;2143.0816;4216.0624
140;8221.8224;2273.2688;4556.552
150;8772.6144;2543.6576;4866.9984
160;9363.464;2723.9168;5157.416
170;9954.3136;2783.76;5487.8912
180;10565.192;2944.2336;5798.3376
190;11095.9552;3114.4784;6068.7264
200;11766.92;3254.68;6469.3024
210;12257.6256;3434.9392;6829.8208
220;12968.648;3585.1552;7110.224
230;13539.4688;3765.4144;7420.6704
240;14140.3328;3945.6736;7751.1456
250;14611.0096;4135.9472;8111.664
260;15221.888;4236.0912;8402.0816
270;15812.7376;4436.3792;8702.5136
280;16443.6448;4646.6816;8922.8304
290;17094.5808;4726.7968;9463.608
300;17525.2;4987.1712;9764.04
310;18176.136;5067.2864;10034.4288
320;18696.8848;5207.488;10394.9472
330;19327.792;5407.776;10675.3504
340;19948.6848;5517.9344;11005.8256
350;20439.3904;5728.2368;11366.344
360;21060.2832;5838.3952;11656.7616
370;21621.0896;6058.712;11957.1936
380;22211.9392;6178.8848;12337.7408
390;22912.9472;6419.2304;12628.1584
400;23543.8544;6559.432;12948.6192
410;23964.4592;6679.6048;13329.1664
420;24595.3664;6859.864;13629.5984
430;25216.2592;7090.1952;13950.0592
440;26077.4976;7230.3968;14260.5056
450;26337.872;7350.5696;14590.9808
460;27038.88;7530.8288;14901.4272
470;27429.4416;7701.0736;15241.9168
480;28210.5648;7851.2896;15552.3632
490;28801.4144;7961.448;15872.824
500;29222.0192;8101.6496;16183.2704
510;29933.0416;8271.8944;16563.8176
520;30413.7328;8882.7728;18576.712
530;40838.7232;10715.408;20839.9664
540;550;39757.168;11186.0848;29592.552
560;34900.184;9283.3488;18596.7408
570;34329.3632;9814.112;21871.4496
580;34940.2416;10054.4576;19277.72
590;34539.6656;9543.7232;19638.2384
600;35030.3712;9774.0544;19297.7488
610;35631.2352;9964.328;19698.3248
620;36242.1136;10064.472;20018.7856
630;640;37473.8848;10404.9616;20569.5776
650;37614.0864;10485.0768;20900.0528
660;38275.0368;10715.408;21180.456
670;38855.872;10815.552;21510.9312
680;39446.7216;10945.7392;21871.4496
690;40077.6288;11136.0128;22151.8528
700;40738.5792;11266.2;22462.2992
710;41209.256;11416.416;23173.3216
720;41599.8176;11606.6896;23143.2784
730;42501.1136;11696.8192;23373.6096
740;43011.848;11917.136;24365.0352
750;43282.2368;11977.2224;24004.5168
760;44113.432;12257.6256;24375.0496
770;44834.4688;12487.9568;24915.8272
780;45525.4624;12548.0432;25136.144
790;45735.7648;12808.4176;25526.7056
800;46426.7584;12888.5328;25787.08
810;47137.7808;13198.9792;26277.7856
820;47968.976;13319.152;26618.2752
830;48770.128;13449.3392;26848.6064
840;49080.5744;13559.4976;26948.7504
850;49581.2944;13749.7712;27449.4704
860;49871.712;13950.0592;27799.9744
870;50472.576;14080.2464;28040.32
880;51103.4832;14300.5632;28450.9104
890;51814.5056;14440.7648;28751.3424
900;52505.4992;14580.9664;29051.7744
910;52986.1904;14831.3264;29432.3216
920;53266.5936;14891.4128;29712.7248
930;53647.1408;15011.5856;30073.2432
940;54268.0336;15332.0464;30253.5024
950;56190.7984;15452.2192;30794.28
960;55920.4096;15622.464;31365.1008
970;56741.5904;15762.6656;31485.2736
980;55009.0992;15251.9312;30403.7184
990;1000;55629.992;15602.4352;31014.5968
1010;56631.432;15722.608;31254.9424
1020;57052.0368;15842.7808;31565.3888
1030;59125.0176;16613.8896;33197.736
1040;60426.8896;16724.048;33317.9088
1050;61278.1136;17014.4656;33828.6432
1060;61848.9344;17114.6096;34068.9888
1070;62329.6256;17204.7392;34509.6224
1080;63050.6624;17525.2;34940.2416
1090;63631.4976;17815.6176;35100.472
1100;64122.2032;17865.6896;35471.0048
1110;64642.952;17945.8048;35861.5664
1120;65604.3344;18256.2512;36202.056
1130;66075.0112;18376.424;36482.4592
1140;66405.4864;18516.6256;36943.1216
1150;67266.7248;18596.7408;37133.3952
1160;67877.6032;18787.0144;37564.0144
1170;68278.1792;19017.3456;37774.3168
1180;68778.8992;19147.5328;38174.8928
1190;69419.8208;19147.5328;38295.0656
1200;69570.0368;19457.9792;38735.6992
1210;70741.7216;19788.4544;39176.3328
1220;71392.6576;19878.584;39446.7216
1230;71953.464;20008.7712;39777.1968
1240;72474.2128;20138.9584;40087.6432
1250;72934.8752;20389.3184;40307.96
1260;73816.1424;20409.3472;40738.5792
1270;74096.5456;20579.592;41069.0544
1280;74727.4528;20759.8512;41379.5008
1290;75408.432;20779.88;41669.9184
1300;76089.4112;21080.312;42040.4512
1310;76740.3472;21220.5136;42310.84
1320;77100.8656;21390.7584;42511.128
1330;77521.4704;21440.8304;42951.7616
1340;78162.392;21621.0896;43202.1216
1350;1360;79524.3504;22021.6656;43943.1872
1370;79734.6528;22221.9536;44283.6768
1380;80726.0784;22542.4144;44674.2384
1390;81467.144;22482.328;44934.6128
1400;81867.72;22702.6448;45305.1456
1410;82498.6272;22772.7456;45515.448
1420;82668.872;22963.0192;45745.7792
1430;83500.0672;23163.3072;46156.3696
1440;84151.0032;23363.5952;46556.9456
1450;84351.2912;23463.7392;46897.4352
1460;84831.9824;23684.056;46667.104
1470;1480;86304.0992;24024.5456;47758.6736
1490;85893.5088;24164.7472;47928.9184
1500;87355.6112;24345.0064;48469.696
1510;88186.8064;24415.1072;48820.2
1520;88907.8432;24735.568;49110.6176
1530;89138.1744;24705.5248;49581.2944
1540;90079.528;24895.7984;49661.4096
1550;90760.5072;25076.0576;50021.928
1560;91261.2272;25186.216;50412.4896
1570;91852.0768;25436.576;50702.9072
1580;92222.6096;25606.8208;51093.4688
1590;92643.2144;25777.0656;51233.6704
1600;93364.2512;25827.1376;51714.3616
1610;94285.576;26027.4256;52004.7792
1620;94295.5904;26187.656;51894.6208
1630;94846.3824;26287.8;52625.672
1640;95517.3472;26528.1456;52825.96
1650;96368.5712;26688.376;53136.4064
1660;97009.4928;26818.5632;53336.6944
1670;97960.8608;27129.0096;53937.5584
1680;98121.0912;27299.2544;54207.9472
1690;98131.1056;27389.384;54338.1344
1700;98882.1856;27459.4848;54808.8112
1710;99573.1792;27699.8304;55259.4592
1720;100544.576;27799.9744;55559.8912
1730;100975.1952;27980.2336;55920.4096
1740;101145.44;28140.464;56100.6688
1750;101926.5632;28290.68;56461.1872
1760;102567.4848;28541.04;56901.8208
1770;103178.3632;28611.1408;57272.3536
1780;103649.04;28841.472;57813.1312
1790;104620.4368;29131.8896;58003.4048
1800;104330.0192;29212.0048;58183.664
1810;1820;106182.6832;29532.4656;58794.5424
1830;107023.8928;29762.7968;58934.744
1840;107564.6704;29923.0272;59645.7664
1850;1860;108806.456;30063.2288;60086.4
1870;109377.2768;30263.5168;60647.2064
1880;109507.464;30493.848;60757.3648
1890;110428.7888;30654.0784;60987.696
1900;110789.3072;30834.3376;61318.1712
1910;111189.8832;31024.6112;61518.4592
1920;112421.6544;31264.9568;62079.2656
1930;114074.0304;31375.1152;62529.9136
1940;1950;109026.7728;30243.488;60366.8032
1960;108335.7792;30453.7904;60577.1056
1970;110609.048;31765.6768;63090.72
1980;114734.9808;31705.5904;63671.5552
1990;116257.1696;32286.4256;64162.2608
2000;116437.4288;32406.5984;64713.0528
2010;117498.9552;32656.9584;64813.1968
2020;117669.2;32787.1456;64963.4128
2030;117909.5456;32676.9872;64993.456
2040;117849.4592;32236.3536;64432.6496
2050;117528.9984;32556.8144;65243.816
